,Article URL,total_freq,Final URL,Status Code,Redirect
1080,http://21stcenturywire.com/2016/06/21/who-are-the-syria-white-helmets/,8.0,https://21stcenturywire.com/2016/06/21/who-are-the-syria-white-helmets/,403,True
1081,http://www.abovetopsecret.com/forum/thread1180735/pg1,5.0,http://www.abovetopsecret.com/forum/thread1180735/pg1,200,False
1082,http://00atmen.blogspot.co.uk/2017/06/atmen-james-le-mesuriers-white-helmets.html,6.0,http://00atmen.blogspot.com/2017/06/atmen-james-le-mesuriers-white-helmets.html,200,True
1083,http://www.nbcnews.com/,10.0,https://www.nbcnews.com/,200,True
1084,http://feeds.feedburner.com/~r/FinanceNewsPublishedNewsTopStories/~3/fi-8-U8JK0A/,1.0,http://finance.worldnewsoffice.com/error_404.php,404,True
1085,https://clarityofsignal.com/2017/01/08/avaaz-involved-in-syria-linked-to-moveon-sumofus-purpose-soros-activism/,11.0,https://clarityofsignal.com/2017/01/08/avaaz-involved-in-syria-linked-to-moveon-sumofus-purpose-soros-activism/,200,False
1086,http://beforeitsnews.com/alternative/2017/09/tipperarys-white-helmets-peace-prize-a-judas-kiss-to-the-antiwar-movement-and-syria-3550571.html,6.0,https://beforeitsnews.com/alternative/2017/09/tipperarys-white-helmets-peace-prize-a-judas-kiss-to-the-antiwar-movement-and-syria-3550571.html,200,True
1087,https://vk.com/wall385392133_4084,2.0,https://m.vk.com/id385392133,200,True
1088,https://www.irishtimes.com/news/ireland/irish-news/syrian-white-helmets-awarded-tipperary-peace-prize-1.3211939,28.0,https://www.irishtimes.com/news/ireland/irish-news/syrian-white-helmets-awarded-tipperary-peace-prize-1.3211939,200,False
1089,http://bost.host10gb.com/./?q=1,2.0,http://ww1.host10gb.com,200,True
1090,http://www.abc.net.au/news/2017-05-29/putin-a-bigger-threat-than-islamic-state-mccain-says/8570158,1.0,https://www.abc.net.au/news/2017-05-29/putin-a-bigger-threat-than-islamic-state-mccain-says/8570158,200,True
1091,http://theduran.com/white-helmets-handle-deadly-toxic-sarin-gas-samples-lighting-cigarettes-video/,5.0,https://theduran.com/white-helmets-handle-deadly-toxic-sarin-gas-samples-lighting-cigarettes-video/,404,True
