USER,FOLLOWERS,USERTYPE
profdownie,642.0,1.0
aag1091,647.0,1.0
AutonomyIncub8r,650.0,1.0
MarthaBunton,653.0,1.0
tmblairla,684.0,1.0
denimsmith,718.0,1.0
gracehthom,740.0,1.0
ibnesayeed,747.0,1.0
ShicretaM,748.0,1.0
Moha_Magdy,760.0,1.0
brianwc,766.0,1.0
AnnaPerricci,770.0,1.0
f_nanni,783.0,1.0
liblaura,788.0,1.0
mhucka,798.0,1.0
SystemicSarcasm,817.0,1.0
climate_gamers,821.0,1.0
shuri_org,833.0,1.0
Maria_Brid,849.0,1.0
mcguthrie,873.0,1.0
knmnyn,877.0,1.0
vincelebow,926.0,1.0
KRGilbertson,931.0,1.0
abugseye,931.0,1.0
mart1nkle1n,933.0,1.0
walkeroh,949.0,1.0
KotsemirMaxim,961.0,1.0
anatbd,1007.0,1.0
saglikozhan,1008.0,1.0
maxgreco,1060.0,1.0
JoshuaFinnell,1073.0,1.0
nyarcist,1074.0,1.0
ashley247,1104.0,1.0
phonedude_mln,1135.0,1.0
unleasharchives,1140.0,1.0
atomotic,1142.0,1.0
iFromm,1145.0,1.0
cazzerson,1150.0,1.0
keesone,1176.0,1.0
vphill,1197.0,1.0
quilldir,1208.0,1.0
nullhandle,1225.0,1.0
pluto_network,1251.0,1.0
SoftPresNetwork,1252.0,1.0
soilandreyes,1255.0,1.0
enigmaticocean,1272.0,1.0
perrycollins,1312.0,1.0
RahelJhirad,1358.0,1.0
queenborgtweets,1370.0,1.0
landlibrarian,1384.0,1.0
freegovinfo,1432.0,1.0
Geoffmuse,1439.0,1.0
WebArch_RT,1503.0,1.0
Campuswire,1576.0,1.0
docmattweber,1585.0,1.0
DrCurtisFreeman,1641.0,1.0
ruebot,1644.0,1.0
alabarga,1702.0,1.0
owilliamsdc,1744.0,1.0
ifoundtheme,1753.0,1.0
agrotke,1765.0,1.0
cbmrccc,1770.0,1.0
JessiDG,1790.0,1.0
michelle__breen,1961.0,1.0
bigbluehat,2142.0,1.0
arjenpdevries,2171.0,1.0
jessogden,2294.0,1.0
MIThyperstudio,2352.0,1.0
NYhuman,2365.0,1.0
ChrisAldrich,2521.0,1.0
aleebrahim,2572.0,1.0
HamptonRFinest,2583.0,1.0
christawells,2586.0,1.0
amelia_acker,2608.0,1.0
Doorcow,2669.0,1.0
mcdonald,2742.0,1.0
topgolfvabeach,2919.0,1.0
MarkGraham,2949.0,1.0
anjacks0n,2973.0,1.0
jschneider,3337.0,1.0
archiveis,3338.0,1.0
NetPreserve,3357.0,1.0
RyanDeschamps,3451.0,1.0
i4oc_org,3552.0,1.0
pj_webster,3586.0,1.0
peterkz_swe,3891.0,1.0
